,4.0,5.5,7.0,8.5,10.0,11.5,13.0,14.5,16.0
0.6,1.66229579223125,0.16887171662803005,0.13466884844362761,1.1051082824166765,2.7574465816873293,4.861323621665752,7.251715397540588,9.810197434988245,12.451839487502193
0.7,2.157183151009507,0.3942946401336238,0.015647154784298355,0.6182015311071108,1.909284675597036,3.6752968408939717,5.7597570389790285,8.04775719573857,10.45485920065488
0.8,2.613604018032259,0.6534582542729847,0.008554807124973661,0.3175047517232064,1.3130407218470133,2.796566274030105,4.619958061245352,6.6724454438149365,8.87107701496888
0.9,3.0327106093257994,0.9246627716186432,0.06908066529831185,0.13885388805786483,0.8883556416163269,2.1323228611356186,3.7305119987526396,5.57646642562154,7.589235065526859
1.0,3.417621894572498,1.1966843159934248,0.1712735406660177,0.04293731264949495,0.5846484060587006,1.622986677265701,3.025015406896276,4.688547867682111,6.534880890439028
1.1,3.771878410155313,1.4636335444757766,0.29924160739711647,0.004535666722150469,0.3686149161159475,1.2286033417471738,2.458289331902179,3.959603476552314,5.656186514119303
1.2,4.098877426607822,1.722472152633554,0.44291779327358205,0.006869198844397427,0.21752238459610504,0.9214234179416375,1.9985324598482375,3.354694829065397,4.91590352431667
1.3,4.401685354586585,1.9717376423994335,0.5957589942023732,0.038439259765988575,0.11538978740258267,0.6816110164924911,1.6227243690032793,2.848268454268273,4.286546230555687
1.4,4.682998914564147,2.2108567286897776,0.7534310111757343,0.09117309060829124,0.05070358505329142,0.49464132779836123,1.3138051304259875,2.4212032993968724,3.7473777809023177
