dt/s,"T(r=0,3h)","T(surf,3h)","C(r=0,3h)","C(surf,3h)","T(r=0,0.5h)","C(r=0,0.5h)"
5.0,49.84915836384015,49.96628172858284,1.7662821272965297,1.0081842390452052,32.1966285215141,2.5499260638647057
2.0,49.84936373167894,49.96636139025406,1.7662191625159318,1.0081475753154285,32.19219741869584,2.5499309338566176
1.0,49.84943017881666,49.96638731785506,1.7661981599863767,1.0081353594637337,32.190720866142414,2.5499325223257494
0.5,49.84946300240809,49.96640016226558,1.7661876560587864,1.0081292525611874,32.18998269362321,2.549933310021358
0.25,49.84947931176244,49.96640655441338,1.7661824034332008,1.008126199368254,32.18961363464466,2.549933702234047
0.1,49.84948906421251,49.96641038007016,1.7661792516491328,1.0081243675373708,32.189392208234395,2.5499339370383964
