field,N,max_abs_err,max_err_interior,err_center_last,err_surface_last,err_lastcell_as_surface
mass,200,0.0005485881092242018,0.00014378620654875718,1.278398924497992e-07,7.084739101159698e-06,0.012105460671302248
mass,400,0.00010967923080817954,4.1649678128585776e-05,4.3035507601985046e-08,1.1458631976601907e-06,0.006057451490808496
mass,800,1.608324373858494e-05,1.608324373858494e-05,2.189128167628951e-08,3.2029030583302642e-06,0.003031359830943714
mass,1600,2.711626342621898e-05,9.689614655084e-06,1.6608952879693106e-08,3.717124778424008e-06,0.0015177961029428921
heat,200,0.0007639113436894718,0.0005171656394367119,0.0003074921150769683,0.0001782845437858782,0.017155961660435537
heat,400,0.001055353826409089,0.0006048553410877844,0.00029063169737497674,0.00016363334285784958,0.008652446465070796
heat,800,0.0011282062642408164,0.0006574278021602709,0.0002864165964737708,0.00015997055452743325,0.004404373936132799
heat,1600,0.001146418862568055,0.000675286846448131,0.0002853627929582103,0.00015905479780542464,0.002281256091144712
