theta,dt/s,T_center,C_surface,method
1.0,10.0,33.587388597107186,1.5111108321966495,BE
1.0,2.0,33.57774531314793,1.5104098792683704,BE
1.0,0.5,33.57594426586004,1.5102784263519922,BE
1.0,0.1,33.57546442536979,1.5102433711569503,BE
0.5,60.0,33.57485232850207,1.5181934097446639,CN
0.5,20.0,33.575300453509485,1.5109311357479127,CN
0.5,5.0,33.57534182195608,1.51023434434194,CN
