,observed_order,extrapolated,base_dt0.02,bias_at_base
T_center,0.7370283720970554,33.57531476648496,33.57536872828712,5.3961802159108174e-05
T_surface,0.7369613988743563,36.78554279225965,36.78557465090626,3.185864661503501e-05
C_center,0.7379905011334695,2.549992385911127,2.5499923975217675,1.1610640449077891e-08
C_surface,0.7369643677337065,1.5102324132977978,1.5102363570696007,3.943771802905616e-06
