problem,param,level,t_dry_h,delta_h,rel_pct
P3,base,0,57.50177838672159,0.0,0.0
P3,h+1%,+1%,57.50100292129317,-0.0007754654284184426,-0.0013485938177479296
P3,h-1%,-1%,57.50256982719633,0.0007914404747424442,0.0013763756477577136
P3,h+2%,+2%,57.50024295638801,-0.0015354303335826103,-0.0026702310374754853
P3,h-2%,-2%,57.50337773668548,0.0015993499638895514,0.0027813921738790537
P3,h_m+1%,+1%,57.437839613195415,-0.06393877352617494,-0.11119442792910174
P3,h_m-1%,-1%,57.5672835101132,0.06550512339160974,0.11391843040238266
P3,h_m+2%,+2%,57.37541675036818,-0.12636163635340836,-0.21975257096150613
P3,h_m-2%,-2%,57.634407972214646,0.13262958549305637,0.2306530149399404
P3,D+1%,+1%,56.99876713823808,-0.5030112484835101,-0.8747751158243591
P3,D-1%,-1%,58.015195978445725,0.513417591724135,0.8928725443432447
P3,D+2%,+2%,56.50585343281932,-0.9959249539022679,-1.731989830304533
P3,D-2%,-2%,58.539341354071595,1.0375629673500057,1.80440152715277
P4,base,0,51.11097031742793,0.0,0.0
P4,h+1%,+1%,51.11025903525937,-0.000711282168559535,-0.0013916428589441207
P4,h-1%,-1%,51.11169671466717,0.0007263972392408391,0.0014212159047842427
P4,h+2%,+2%,51.109562267298415,-0.0014080501295126169,-0.002754888276954697
P4,h-2%,-2%,51.112438590449486,0.001468273021558275,0.0028727159990105298
P4,h_m+1%,+1%,51.086146553796425,-0.024823763631502516,-0.04856836698136027
P4,h_m-1%,-1%,51.1364876665473,0.025517349119375865,0.04992538580445401
P4,h_m+2%,+2%,51.06199102970615,-0.048979287721778064,-0.09582930517184293
P4,h_m-2%,-2%,51.16272405838096,0.05175374095303198,0.1012575981860882
P4,D+1%,+1%,50.66603643985527,-0.4449338775726588,-0.870525201946605
P4,D-1%,-1%,51.565015571479854,0.45404525405192686,0.8883518572080513
P4,D+2%,+2%,50.22994497311436,-0.8810253443135707,-1.723749987217826
P4,D-2%,-2%,52.028451634028336,0.9174813166004085,1.7950770859999967
