problem,sample,t_dry_h,h,h_m,D_scale,T_plateau,C_plateau
P3,0,57.68070510849234,24.19733703418859,8.111930532572124e-07,0.9967268401143485,49.96069174299768,0.04995017415614583
P3,1,58.904457055571065,25.72629561463316,8.324115069341738e-07,0.9677353191823048,50.03693043934742,0.0499341779430872
P3,2,56.46949554533953,26.167405500405977,8.335880128429822e-07,1.013587080414465,50.06392397773244,0.04999544828124114
P3,3,58.51056629373266,25.814738145938925,7.958704436320082e-07,0.9838812453313762,49.9356821909678,0.049913843197366116
P3,4,57.002779263580194,25.06454210836312,7.944729648547544e-07,1.0163180620472596,49.864095730018505,0.04997639005402867
P3,5,57.29594490499713,24.66295200283098,7.756318079897242e-07,1.0094865871006053,49.97819619066788,0.04993465508860895
P3,6,55.78566553479676,24.27354030309055,8.299699245753743e-07,1.0297462315521433,50.024486573909925,0.04994740047221168
P3,7,57.63726018080595,26.11704947744912,8.050701899602035e-07,0.9932762739619952,50.10381918532695,0.049940122436337775
P3,8,58.79628939323578,25.489987175334463,7.851056261809895e-07,0.9761553046311799,50.049909318185115,0.04991428366438403
P3,9,59.00147803424455,24.9827758074622,8.064022762416444e-07,0.9688906364754458,50.058119618749316,0.050004865357183896
P3,10,58.03077254863548,25.30375814906484,7.897715453437464e-07,0.9920193259920633,49.99427027781536,0.04998268207146527
P3,11,58.16554196775985,25.43909805712406,8.061742003596959e-07,0.9916270642992466,49.86111457726006,0.05007424393365054
P3,12,57.85456717606453,25.048460552860842,7.861235731049016e-07,0.9999955022411194,49.88586546728107,0.05010551413797225
P3,13,58.44793702714748,26.224340418961255,7.646988174012466e-07,0.9858231218591381,50.057801985587,0.04993868041461039
P3,14,56.01877971624314,25.16762439591112,7.933256769852024e-07,1.0274212157630875,50.11948769134402,0.05010090619704936
P3,15,55.819967879731855,25.302338663000125,7.728219450134456e-07,1.0447062083311662,49.86701039437834,0.049934010305522664
P3,16,57.69302521261793,24.45403373275149,8.137460785378163e-07,0.9987363066072511,49.885714930076546,0.04985352666627975
P3,17,57.00236020606519,25.260789366934095,7.993186665872741e-07,1.01013821213404,50.012958086482385,0.05010148928190651
P3,18,55.46278775148225,26.045992144676493,7.750605728881891e-07,1.0442120869470535,50.073375220751416,0.05003044796247001
P3,19,55.59854081853329,25.399018168727373,8.036848183920513e-07,1.041726329964284,49.923626998901824,0.05001922799183342
P3,20,57.25132271823448,25.785607654679126,7.707809161296904e-07,1.0115508274358866,49.969424152310104,0.050066334140841384
P3,21,55.658380076393975,23.91928590155135,8.085451504827363e-07,1.0357078689986647,50.030330565978204,0.04994068636728735
P3,22,56.979947127381344,25.38949013980472,7.870522274188808e-07,1.016859278841009,49.89529076628321,0.04992900423879973
P3,23,57.679248719519514,23.83179594549229,7.667127511170152e-07,1.0054769619816506,49.92320433135751,0.04999571073566212
P3,24,58.13885194279208,25.3989238326821,8.304948943479619e-07,0.9855061014588539,49.94669589352941,0.04993851897081354
P3,25,55.87515759701103,24.044624111310988,8.130546691725812e-07,1.031965458143721,49.98837588076873,0.050007638356419394
P3,26,56.00311367632075,26.146200284239047,8.159132137321992e-07,1.0245034886647653,50.100861498828515,0.0499108644627848
P3,27,55.79187235765241,25.37541514580173,8.173915604261114e-07,1.0342227929723526,49.95347662154475,0.05004450983432486
P3,28,59.78263545797944,25.261001514506514,7.927488827058132e-07,0.9601685757082163,49.95597832124953,0.05012212237611112
P3,29,58.6798795189519,24.291308754031995,7.69091039487054e-07,0.9867679424737008,49.887900464790356,0.049925389682279504
P3,30,57.34998182041515,26.03614030525731,7.855025665156464e-07,1.0085889514546826,49.92510744979007,0.05003862870346774
P3,31,57.91302022474192,24.069140969162206,8.231847506620404e-07,0.9922946044771592,49.91023038211759,0.05006413401935812
P3,32,58.78700457545334,25.13570634756808,7.950516008264775e-07,0.9740626041813774,50.07165732838734,0.049953103513469696
P3,33,59.965295541199445,23.85772672658649,8.372295415875744e-07,0.9530464808124895,49.89316381670373,0.0499815071378995
P3,34,57.08595855416132,24.269637353929834,7.868108030068876e-07,1.006756524193334,50.11931958181074,0.05011444489124402
P3,35,58.91154172183596,23.934739939613088,8.282650925007999e-07,0.9667823655132245,50.079777749905574,0.04993362541061633
P3,36,55.446651508785344,25.544585893207245,8.175034564022022e-07,1.0350551259756355,50.12520292715202,0.049927729705005204
P3,37,59.535103443910955,25.320771146685978,8.191408636509627e-07,0.9579629337575607,50.039678894841636,0.049940736609556
P3,38,57.66470549400548,24.15367260665238,8.039577246267807e-07,0.9961883597077568,50.01648421297775,0.0500312648981819
P3,39,59.090168265201065,24.996672153371254,8.324120565951309e-07,0.9677914198391004,49.93862399468367,0.049950542682687955
P3,40,58.854321586461616,25.68595505019665,8.121678493492763e-07,0.9706422680062812,50.06168497758407,0.05006788833999836
P3,41,59.12771018351365,25.675603663931128,7.662698323937749e-07,0.9712139148825772,50.102451357252676,0.050098373634723255
P3,42,58.78223906942194,24.263931643991683,8.041100526651773e-07,0.9762683258447681,49.97305704780861,0.04985581160255692
P3,43,55.607630223390785,24.45440059184188,7.816544721156728e-07,1.0419130490952073,50.01942546307846,0.049900050278138125
P3,44,56.83721945239737,24.81891135635335,7.994348929751963e-07,1.0137360117426057,50.00443010829561,0.049968843481053835
P3,45,55.16063466057086,24.52698252943826,8.059999607041509e-07,1.047583201367073,50.009977265725276,0.05010051535708778
P3,46,55.92240197433201,23.788181087959124,7.762477922258396e-07,1.0364767979323048,50.014429748980376,0.049987651252954464
P3,47,56.84657651236073,24.672010721703323,7.8362125703116e-07,1.017882979655355,49.95940469526522,0.04997286749959949
P3,48,54.87276044930503,25.692120719818966,8.356946378016636e-07,1.0493656853414646,49.99159260812064,0.049888932821230504
P3,49,59.99099484664469,23.812309006087762,7.99572536444647e-07,0.9576354991485329,49.89241948311695,0.049916246539082824
P3,50,59.60825460220329,26.229982744853746,7.729782846016452e-07,0.9610132118997416,50.107998415511545,0.05002565696994634
P3,51,55.29769033699172,25.599751755877097,7.883786764376292e-07,1.0433832508989194,50.12425084549384,0.05000768308479787
P3,52,57.69671185105024,26.217100691319718,8.004635482255006e-07,0.9939740283934425,50.07275603383281,0.050031923252399996
P3,53,59.920298654499405,24.25132589170809,8.011951428796544e-07,0.9516459459486485,50.09712402661192,0.050003159577247616
P3,54,54.74020485924068,23.86546757135858,8.350207140866249e-07,1.0499436467771184,50.05975757723415,0.049971762390980945
P3,55,60.026680835839954,25.228548205086998,7.608185521725336e-07,0.9608449323012714,49.95002337856669,0.04996609599951735
P3,56,59.68469251404009,25.639872080892445,7.736583821270603e-07,0.9616104736095911,50.04899727752256,0.050100803546340035
P3,57,55.02858163784917,25.94916813074393,8.193532960825127e-07,1.048356730008467,50.00163325266461,0.05006871668968492
P3,58,55.66611034057315,24.792943585970225,7.88260452849327e-07,1.0410822092165966,49.976952171536304,0.05006080604451746
P3,59,59.7633656164118,24.992556539251044,7.689770339254653e-07,0.962687607790656,49.99840055180312,0.05004984520261798
P3,60,60.24803590346092,25.606210529183098,7.868557666889161e-07,0.9509210657996571,50.00467549453985,0.04990345509691338
P3,61,58.06955696648704,24.550299918793847,8.053159309745092e-07,0.9891832972310798,49.98459392167816,0.0498641506913884
P3,62,57.078902613355694,24.207538537080236,8.27351646700154e-07,1.0011881427365295,50.099678382475254,0.050092120595023666
P3,63,57.67040422114183,24.232924939246647,7.919677471380023e-07,1.0025778300079569,49.88696447193905,0.04987401075543533
P4,0,51.30820216750971,24.19733703418859,8.111930532572124e-07,0.9967268401143485,49.96069174299768,0.04995017415614583
P4,1,52.470081840190296,25.72629561463316,8.324115069341738e-07,0.9677353191823048,50.03693043934742,0.0499341779430872
P4,2,50.323398947313095,26.167405500405977,8.335880128429822e-07,1.013587080414465,50.06392397773244,0.04999544828124114
P4,3,51.98066262927264,25.814738145938925,7.958704436320082e-07,0.9838812453313762,49.9356821909678,0.049913843197366116
P4,4,50.64074538540707,25.06454210836312,7.944729648547544e-07,1.0163180620472596,49.864095730018505,0.04997639005402867
P4,5,50.82277086631065,24.66295200283098,7.756318079897242e-07,1.0094865871006053,49.97819619066788,0.04993465508860895
P4,6,49.7047462311373,24.27354030309055,8.299699245753743e-07,1.0297462315521433,50.024486573909925,0.04994740047221168
P4,7,51.24753865631242,26.11704947744912,8.050701899602035e-07,0.9932762739619952,50.10381918532695,0.049940122436337775
P4,8,52.19091709763525,25.489987175334463,7.851056261809895e-07,0.9761553046311799,50.049909318185115,0.04991428366438403
P4,9,52.458581594421695,24.9827758074622,8.064022762416444e-07,0.9688906364754458,50.058119618749316,0.050004865357183896
P4,10,51.53274379735846,25.30375814906484,7.897715453437464e-07,0.9920193259920633,49.99427027781536,0.04998268207146527
P4,11,51.71645447877539,25.43909805712406,8.061742003596959e-07,0.9916270642992466,49.86111457726006,0.05007424393365054
P4,12,51.360926072956296,25.048460552860842,7.861235731049016e-07,0.9999955022411194,49.88586546728107,0.05010551413797225
P4,13,51.795695849716374,26.224340418961255,7.646988174012466e-07,0.9858231218591381,50.057801985587,0.04993868041461039
